,Par_Breakers_RANK THIS WEEK,Par_Breakers_RANK LAST WEEK,Par_Breakers_PLAYER NAME,Par_Breakers_ROUNDS,Par_Breakers_%,Par_Breakers_# BIRDIES/EAGLES,Par_Breakers_# HOLES
86,T86,T86,Brian Harman,101,19.75,359,1818
87,T86,T86,Geoff Ogilvy,73,19.75,256,1296
88,T86,T86,Kevin Stadler,85,19.75,288,1458
89,90,90,Ricky Barnes,92,19.7,312,1584
90,91,91,Graham DeLaet,79,19.69,280,1422
91,92,92,Roberto Castro,92,19.63,318,1620
92,T93,T93,Johnson Wagner,88,19.57,310,1584
93,T93,T93,Charlie Wi,86,19.57,303,1548
94,T95,T95,Bill Lunde,83,19.55,278,1422
95,T95,T95,Daniel Summerhays,81,19.55,285,1458
96,97,97,Gary Christian,91,19.54,306,1566
97,T98,T98,Bill Haas,79,19.52,274,1404
98,T98,T98,Scott Stallings,78,19.52,274,1404
99,T100,T100,Tommy Biershenk,74,19.44,252,1296
100,T100,T100,Dicky Pride,62,19.44,203,1044
101,T102,T102,Cameron Beckman,81,19.41,269,1386
102,T102,T102,Erik Compton,81,19.41,269,1386
103,104,104,Hunter Mahan,88,19.38,286,1476
104,105,105,Ian Poulter,57,19.35,195,1008
105,106,106,Charles Howell III,98,19.33,341,1764
106,T107,T107,Jonathan Byrd,69,19.28,236,1224
107,T107,T107,Greg Chalmers,88,19.28,302,1566
108,109,109,Andres Romero,68,19.27,222,1152
109,110,110,David Toms,60,19.25,201,1044
110,111,111,David Hearn,95,19.18,328,1710
111,112,112,Mathew Goggin,65,19.14,217,1134
112,113,113,Russell Knox,72,19.12,234,1224
113,114,114,Kevin Streelman,89,19.1,306,1602
114,115,115,Kevin Chappell,91,19.09,299,1566
115,116,116,Gary Woodland,70,19.08,237,1242
116,117,117,Spencer Levin,81,19.06,271,1422
117,118,118,John Mallinger,74,19.05,240,1260
118,119,119,William McGirt,96,19.04,329,1728
119,120,120,Miguel Angel Carballo,73,19.0,236,1242
120,121,121,Jerry Kelly,84,18.98,287,1512
121,122,122,Daniel Chopra,55,18.97,181,954
122,123,123,Jason Kokrak,79,18.96,256,1350
123,124,124,George McNeill,85,18.95,290,1530
124,125,125,Jeff Maggert,83,18.94,283,1494
125,126,126,Chad Campbell,84,18.92,286,1512
126,127,127,Marco Dawson,60,18.87,197,1044
127,128,128,Harrison Frazar,56,18.83,183,972
128,129,129,Bobby Gates,87,18.82,288,1530
129,130,130,Matt Bettencourt,80,18.79,257,1368
130,131,131,Brian Gay,91,18.77,294,1566
131,132,132,Troy Matteson,100,18.76,331,1764
132,T133,T133,K.J. Choi,71,18.73,236,1260
133,T133,T133,Gavin Coles,72,18.73,236,1260
134,135,135,Marc Leishman,84,18.72,283,1512
135,136,136,Edward Loar,59,18.62,191,1026
136,T137,T137,Bryce Molder,83,18.57,264,1422
137,T137,T137,Boo Weekley,74,18.57,234,1260
138,139,139,Chris Stroud,86,18.54,287,1548
139,T140,T140,Chris DiMarco,83,18.52,270,1458
140,T140,T140,Brandt Jobe,57,18.52,190,1026
141,T142,T142,Kris Blanks,65,18.46,216,1170
142,T142,T142,Hunter Haas,69,18.46,216,1170
143,T142,T142,Rocco Mediate,70,18.46,226,1224
144,145,145,Jim Furyk,85,18.45,279,1512
145,146,146,Ernie Els,80,18.38,258,1404
146,147,147,D.J. Trahan,73,18.36,228,1242
147,148,148,Jason Bohn,81,18.33,254,1386
148,149,149,Derek Lamely,64,18.32,211,1152
149,150,150,Bob Estes,78,18.3,257,1404
150,151,151,Kevin Kisner,69,18.29,214,1170
151,152,152,Y.E. Yang,64,18.28,204,1116
152,T153,T153,Tim Herron,88,18.24,289,1584
153,T153,T153,Matt Jones,53,18.24,174,954
154,155,155,Stuart Appleby,75,18.23,233,1278
155,156,156,Rod Pampling,88,18.19,275,1512
156,157,157,"Ted Potter, Jr.",77,18.18,252,1386
157,158,158,Kyle Reifers,86,18.15,281,1548
158,159,159,Ángel Cabrera,54,18.11,176,972
159,160,160,Michael Bradley,63,18.08,205,1134
160,T161,T161,Robert Allenby,76,18.06,247,1368
161,T161,T161,Ryuji Imada,78,18.06,247,1368
162,163,163,Brendon Todd,78,18.02,240,1332
163,164,164,David Mathis,83,17.9,261,1458
164,165,165,Freddie Jacobson,61,17.87,193,1080
165,166,166,Heath Slocum,93,17.85,286,1602
166,T167,T167,Troy Kelly,68,17.8,205,1152
167,T167,T167,Chez Reavie,83,17.8,266,1494
168,169,169,Billy Mayfair,90,17.76,275,1548
169,170,170,Scott Dunlap,57,17.71,169,954
170,171,171,Steve Wheatcroft,56,17.63,165,936
171,172,172,Colt Knost,79,17.6,244,1386
172,173,173,Stewart Cink,71,17.58,212,1206
173,174,174,Arjun Atwal,79,17.56,237,1350
174,T175,T175,J.J. Henry,93,17.54,281,1602
175,T175,T175,Trevor Immelman,76,17.54,240,1368
176,T177,T177,Tim Clark,60,17.41,188,1080
177,T177,T177,Justin Leonard,79,17.41,235,1350
178,179,179,Mark Wilson,84,17.38,244,1404
179,180,180,Brendan Steele,77,17.35,228,1314
180,181,181,Kyle Thompson,51,17.23,152,882
181,182,182,Nick O'Hern,78,17.19,229,1332
182,183,183,J.J. Killeen,101,17.18,300,1746
183,184,184,Tom Pernice Jr.,62,17.15,179,1044
184,185,185,Ryo Ishikawa,54,17.09,160,936
185,186,186,Patrick Sheehan,58,17.06,172,1008
186,187,187,Stephen Gangluff,57,16.77,166,990
187,188,188,Alexandre Rocha,62,16.76,175,1044
188,189,189,Stephen Ames,54,16.56,161,972
189,190,190,Sung Kang,75,16.36,215,1314
190,191,191,Billy Hurley III,70,16.26,199,1224
